,RIC,name
488,KOF.PA,KAUFMAN AND BROAD ORD
489,KOJAMO.HE,KOJAMO OYJ ORD
518,NEOEN.PA^D25,NEOEN SA ORD
527,NSTEc.AS,NSI NV
538,PHAR.AS,PHARMING GROUP ORD
551,ROBF.PA,ROBERTET ORD
552,ROCKb.CO,ROCKWOOL INTL SR A ORD
556,S30.PA,SOLUTIONS 30 SE
564,SCATC.OL,SCATEC ASA ORD
615,ULVR.AS,UNILEVER PLC ORD
649,ADEA.OL^F24,ADEVINTA ASA ORD
658,AIRG.DE,AIRBUS SE
665,ALFEN.AS,ALFEN BEHEER ORD
700,BNRGn.DE,BRENNTAG ORD
725,DBG.PA,DERICHEBOURG ORD
737,ELI.BR,ELIA SYSTEM OPERATOR ORD
744,ENR1n.DE,SIEMENS ENERGY AG ORD
756,EVOG.ST,EVOLUTION AB ORD
784,HFGG.DE,HELLOFRESH SEORD
795,INPST.AS,INPOST ORD SHS WHEN ISSUED
802,KAHOT.OL^A24,KAHOOT! AS ORD
818,MAERSKa.CO,MOELLER MAERSK ORD
826,MLXS.BR,MELEXIS ORD
829,MPCC.OL,MPC CONTAINER SHIPS AS ORD
841,NETCG.CO,NETCOMPANY A/S ORD
846,NOD.OL,NORDIC VLSI ORD
858,OVH.PA,OVH GROUPE SAS ORD
865,PSHG_p.DE,PORSCHE SE VZ PRF
868,PUMG.DE,PUMA SE ORD
869,QIA.DE,QIAGEN ORD
870,QTCOM.HE,QT GROUP ORD
874,RECSI.OL,REC SILICON ASA
888,SATG_p.DE,SARTORIUS PRF
902,SHLG.DE,SIEMENS HEALTHINEERS AG ORD
904,SINCH.ST,SINCH ORD
917,STLAM.PA,STELLANTIS NV ORD
922,SY1G.DE,SYMRISE ORD
924,TE.PA,TECHNIP ENERGIES BV ORD
943,UMG.AS,UNIVERSAL MUSIC GROUP NV ORD
956,VLS.PA,VALNEVA
969,ZALG.DE,ZALANDO ORD SHS
1001,ANTIN.PA,ANTIN INFRASTRUCTURE PARTNERS SAS ORD
1015,AUTO.OL,AUTOSTORE HOLDINGS LTD ORD
1020,BAVA.CO,BAVARIAN NORDIC ORD
1048,CTPNV.AS,CTP NV ORD
1050,DAMA.PA^B23,SOMFY SA ORD
1063,DTGGe.DE,DAIMLER TRUCK AG ORD
1064,EAPI.PA,EUROAPI SA ORD
1088,EXOR.AS,
1116,HNRGn.DE,HANNOVER RUECKVERSICHERUNG ORD
1120,IETB.BR,D'IETEREN ORD
1122,IMAF.PA,ALTAREA ORD
